Number,Creation date,Start date,Start station,End date,End station,Total duration,Subscription type
86602,6/8/2015,6/8/2015 0:12,1st Ave & Marion St,6/8/2015 0:19,2nd Ave & Pike St,7m 7s,24-Hour Pass
86603,6/8/2015,6/8/2015 0:13,Harvard Ave & E Pine St,6/8/2015 0:33,City Hall / 4th Ave & James St,19m 57s,24-Hour Pass
86604,6/8/2015,6/8/2015 0:13,Harvard Ave & E Pine St,6/8/2015 0:27,Frye Art Museum / Terry Ave & Columbia St,13m 33s,24-Hour Pass
86606,6/8/2015,6/8/2015 0:14,Harvard Ave & E Pine St,6/8/2015 0:27,Frye Art Museum / Terry Ave & Columbia St,12m 23s,24-Hour Pass
86607,6/8/2015,6/8/2015 0:16,E Harrison St & Broadway Ave E,6/8/2015 0:18,Summit Ave & E Denny Way,2m 27s,"The ""Pedal"" Membership"
86608,6/8/2015,6/8/2015 0:17,Harvard Ave & E Pine St,6/8/2015 0:28,Frye Art Museum / Terry Ave & Columbia St,10m 22s,24-Hour Pass
86609,6/8/2015,6/8/2015 0:36,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 0:47,E Blaine St & Fairview Ave E,11m 2s,Annual Membership
86611,6/8/2015,6/8/2015 4:06,Key Arena / 1st Ave N & Harrison St,6/8/2015 4:17,1st Ave & Marion St,11m 42s,"The ""Pedal"" Membership"
86612,6/8/2015,6/8/2015 4:17,Key Arena / 1st Ave N & Harrison St,6/8/2015 4:29,City Hall / 4th Ave & James St,12m 45s,"The ""Pedal"" Membership"
86613,6/8/2015,6/8/2015 5:33,E Pine St & 16th Ave,6/8/2015 5:39,2nd Ave & Pike St,6m 7s,"The ""Pedal"" Membership"
86614,6/8/2015,6/8/2015 5:47,15th Ave E & E Thomas St,6/8/2015 5:51,Cal Anderson Park / 11th Ave & Pine St,4m 0s,"The ""Pedal"" Membership"
86615,6/8/2015,6/8/2015 5:56,Harvard Ave & E Pine St,6/8/2015 6:02,REI / Yale Ave N & John St,5m 59s,"The ""Pedal"" Membership"
86616,6/8/2015,6/8/2015 6:20,3rd Ave & Broad St,6/8/2015 6:25,PATH / 9th Ave & Westlake Ave,4m 18s,"The ""Pedal"" Membership"
86617,6/8/2015,6/8/2015 6:29,Dexter Ave N & Aloha St,6/8/2015 6:43,Republican St & Westlake Ave N,13m 29s,"The ""Pedal"" Membership"
86618,6/8/2015,6/8/2015 6:33,1st Ave & Marion St,6/8/2015 6:42,2nd Ave & Vine St,8m 11s,"The ""Pedal"" Membership"
86619,6/8/2015,6/8/2015 6:35,2nd Ave & Spring St,6/8/2015 6:47,Dexter Ave N & Aloha St,12m 26s,"The ""Pedal"" Membership"
86620,6/8/2015,6/8/2015 6:42,2nd Ave & Vine St,6/8/2015 6:45,Pier 69 / Alaskan Way & Clay St,2m 55s,24-Hour Pass
86621,6/8/2015,6/8/2015 6:45,2nd Ave & Pike St,6/8/2015 7:05,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,19m 12s,24-Hour Pass
86622,6/8/2015,6/8/2015 6:47,2nd Ave & Pike St,6/8/2015 7:05,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,17m 34s,24-Hour Pass
86623,6/8/2015,6/8/2015 6:53,E Harrison St & Broadway Ave E,6/8/2015 6:59,Pine St & 9th Ave,6m 4s,"The ""Pedal"" Membership"
86624,6/8/2015,6/8/2015 6:56,15th Ave E & E Thomas St,6/8/2015 7:04,2nd Ave & Pike St,8m 21s,"The ""Pedal"" Membership"
86625,6/8/2015,6/8/2015 6:56,Westlake Ave & 6th Ave,6/8/2015 7:05,Dexter Ave N & Aloha St,9m 27s,"The ""Pedal"" Membership"
86626,6/8/2015,6/8/2015 6:59,REI / Yale Ave N & John St,6/8/2015 7:06,E Blaine St & Fairview Ave E,6m 34s,"The ""Pedal"" Membership"
86627,6/8/2015,6/8/2015 7:01,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,6/8/2015 7:22,3rd Ave & Broad St,20m 46s,"The ""Pedal"" Membership"
86628,6/8/2015,6/8/2015 7:04,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 7:13,Cal Anderson Park / 11th Ave & Pine St,8m 11s,"The ""Pedal"" Membership"
86629,6/8/2015,6/8/2015 7:06,Seattle University / E Columbia St & 12th Ave,6/8/2015 7:13,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,7m 2s,"The ""Pedal"" Membership"
